                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0884,                 4.3965,                 1.0137,                0.00247,                    0.5,                0.00466,                0.00357,                0.89731,                  3.984,                0.94146,                 0.0865,                 0.0015,                 0.0015
                      1,                 1.2147,                 2.9184,                 1.0393,                0.00509,                   0.75,                0.42037,                0.35011,                0.81847,                 3.6278,                0.89344,               0.072039,              0.0030386,              0.0030386
                      2,                 1.0967,                 1.9772,                 0.9406,                0.00696,                      1,                 0.5019,                0.43314,                0.82421,                 3.3812,                0.89049,               0.057514,              0.0045139,              0.0045139
                      3,                 1.2245,                 1.7589,                0.97915,                0.00557,                0.83333,                 0.4201,                0.38383,                 1.0187,                 3.4109,                 1.0338,               0.042926,              0.0059258,              0.0059258
                      4,                 1.1714,                  1.404,                0.99763,                0.96043,                0.93638,                  0.995,                0.72816,                 0.8983,                 2.2001,                0.93465,               0.028274,              0.0072743,              0.0072743
                      5,                 1.2622,                 1.2838,                 1.0273,                0.00755,                0.91667,                0.87528,                0.60319,                0.96408,                 2.9783,                  1.016,                0.01356,              0.0085595,              0.0085595
                      6,                 1.1576,                  1.252,                 0.9913,                      1,                0.46935,                0.91522,                0.64626,                 1.0029,                 2.3933,                0.99562,               0.008812,               0.008812,               0.008812
                      7,                 1.1058,                 1.4517,                0.96966,                  0.987,                   0.75,                0.84039,                0.60354,                 1.1505,                 1.9497,                 1.1006,               0.008812,               0.008812,               0.008812
                      8,                 1.1344,                 1.1969,                0.94331,                0.96179,                      1,                  0.995,                0.69203,                0.99063,                0.89076,                 1.0201,               0.008614,               0.008614,               0.008614
                      9,                 1.1171,                 1.1321,                0.95967,                 0.9384,                0.99097,                  0.995,                0.65129,                 1.1072,                  0.938,                 1.0396,               0.008416,               0.008416,               0.008416
                     10,                 1.1011,                 1.0032,                  1.014,                0.91216,                      1,                  0.995,                0.73603,                0.93299,                0.89964,                0.98267,               0.008218,               0.008218,               0.008218
                     11,                 1.0882,                0.95644,                0.99715,                 0.9766,                      1,                  0.995,                0.69581,                 0.9679,                 1.0538,                0.96977,                0.00802,                0.00802,                0.00802
                     12,                  1.129,                 0.9918,                 1.0088,                0.98215,                      1,                  0.995,                0.67458,                 1.0575,                0.82788,                 1.0112,               0.007822,               0.007822,               0.007822
                     13,                 1.0855,                 0.8975,                0.99908,                0.97386,                0.99946,                  0.995,                0.77357,                0.91541,                0.73883,                0.95526,               0.007624,               0.007624,               0.007624
                     14,                 1.1006,                0.91389,                 1.0021,                0.96086,                0.99883,                  0.995,                0.79669,                0.82299,                0.69191,                0.92327,               0.007426,               0.007426,               0.007426
                     15,                 1.0229,                0.99351,                0.94143,                0.98609,                0.91667,                0.91957,                 0.7278,                 0.9577,                0.95864,                0.99164,               0.007228,               0.007228,               0.007228
                     16,                 1.1262,                0.84615,                 1.0257,                 0.9878,                      1,                  0.995,                0.76957,                 0.8348,                0.59883,                0.94266,                0.00703,                0.00703,                0.00703
                     17,                 1.0307,                0.85258,                0.93451,                0.98708,                      1,                  0.995,                0.73427,                 1.0702,                0.73952,                0.99776,               0.006832,               0.006832,               0.006832
                     18,                0.96764,                0.79537,                0.90504,                0.97987,                      1,                  0.995,                 0.6974,                 1.1738,                0.77147,                 1.0162,               0.006634,               0.006634,               0.006634
                     19,                 1.0642,                0.74576,                 0.9987,                 0.9556,                0.99931,                  0.995,                0.69745,                 1.2608,                0.73279,                 1.0565,               0.006436,               0.006436,               0.006436
                     20,                 1.0182,                0.76968,                0.98013,                0.95247,                0.99735,                  0.995,                0.77221,                  1.126,                0.65525,                  1.037,               0.006238,               0.006238,               0.006238
                     21,                 0.9722,                0.81005,                0.92741,                 0.9705,                      1,                  0.995,                0.75451,                 1.0896,                0.62307,                 1.0083,                0.00604,                0.00604,                0.00604
                     22,                0.97318,                0.74155,                0.90783,                 0.9788,                      1,                  0.995,                0.78093,                0.82166,                 0.5706,                0.94265,               0.005842,               0.005842,               0.005842
                     23,                0.94542,                0.70634,                0.90347,                0.98883,                      1,                  0.995,                0.72821,                0.98896,                0.59993,                0.96939,               0.005644,               0.005644,               0.005644
                     24,                 1.0251,                0.69045,                0.97476,                0.97186,                      1,                  0.995,                0.71943,                 1.0881,                0.56725,                 1.0236,               0.005446,               0.005446,               0.005446
                     25,                 1.0552,                0.71648,                0.99276,                0.97782,                      1,                  0.995,                0.76635,                0.96028,                0.58358,                 0.9708,               0.005248,               0.005248,               0.005248
                     26,                0.96075,                0.67645,                0.89911,                0.98549,                      1,                  0.995,                0.75564,                0.96144,                 0.5689,                0.97102,                0.00505,                0.00505,                0.00505
                     27,                 1.0167,                0.65194,                0.97997,                0.98785,                      1,                  0.995,                0.78734,                0.91816,                0.55114,                0.93996,               0.004852,               0.004852,               0.004852
                     28,                 0.9067,                0.65309,                0.90149,                 0.9905,                      1,                  0.995,                0.81204,                0.80594,                0.51788,                0.93264,               0.004654,               0.004654,               0.004654
                     29,                0.95782,                0.63622,                0.91393,                0.98441,                      1,                  0.995,                0.75208,                0.89885,                0.52412,                0.94927,               0.004456,               0.004456,               0.004456
                     30,                0.96343,                 0.6149,                0.95703,                0.98674,                      1,                  0.995,                0.73262,                 1.0453,                0.58711,                 1.0111,               0.004258,               0.004258,               0.004258
                     31,                0.88432,                0.59429,                0.89954,                0.99068,                      1,                  0.995,                0.76557,                 0.9181,                0.56754,                0.97247,                0.00406,                0.00406,                0.00406
                     32,                0.98644,                0.60932,                0.95434,                0.98994,                      1,                  0.995,                0.77579,                0.88757,                0.51023,                0.94883,               0.003862,               0.003862,               0.003862
                     33,                0.86721,                 0.5716,                0.86934,                0.98351,                      1,                  0.995,                 0.7684,                0.88619,                0.49185,                0.95495,               0.003664,               0.003664,               0.003664
                     34,                0.97798,                0.58954,                0.95829,                0.98921,                      1,                  0.995,                0.76003,                0.99907,                0.49701,                 1.0091,               0.003466,               0.003466,               0.003466
                     35,                0.95052,                0.56806,                 0.9482,                0.98554,                      1,                  0.995,                0.78419,                0.90266,                0.49241,                0.94024,               0.003268,               0.003268,               0.003268
                     36,                0.95928,                0.59012,                0.93369,                 0.9857,                      1,                  0.995,                0.82026,                0.78394,                0.42853,                0.91783,                0.00307,                0.00307,                0.00307
                     37,                0.92084,                0.55863,                0.91849,                0.97748,                      1,                  0.995,                0.80168,                0.80026,                0.43364,                0.94181,               0.002872,               0.002872,               0.002872
                     38,                 0.9603,                0.57382,                0.93532,                0.97962,                      1,                  0.995,                0.78382,                0.77939,                0.45867,                0.91774,               0.002674,               0.002674,               0.002674
                     39,                0.84463,                0.55707,                0.86825,                 0.9843,                      1,                  0.995,                0.76224,                0.93743,                0.43774,                0.98184,               0.002476,               0.002476,               0.002476
                     40,                0.89632,                0.52381,                0.94112,                0.98244,                      1,                  0.995,                0.78681,                0.90875,                0.44923,                0.98634,               0.002278,               0.002278,               0.002278
                     41,                0.92561,                0.51902,                0.95704,                0.98637,                      1,                  0.995,                0.76094,                0.92552,                0.45268,                0.99441,                0.00208,                0.00208,                0.00208
                     42,                0.80243,                0.48921,                 0.8824,                0.98333,                      1,                  0.995,                0.77104,                 1.0113,                0.46847,                 1.0026,               0.001882,               0.001882,               0.001882
                     43,                0.86074,                0.49189,                0.94489,                0.98531,                      1,                  0.995,                0.77015,                0.92831,                0.44907,                 0.9736,               0.001684,               0.001684,               0.001684
                     44,                0.85801,                0.49934,                0.94947,                0.98556,                      1,                  0.995,                0.78278,                 0.8329,                0.42516,                 0.9297,               0.001486,               0.001486,               0.001486
                     45,                0.80028,                0.46802,                0.92458,                0.98041,                      1,                  0.995,                0.80897,                0.84365,                0.40604,                0.96474,               0.001288,               0.001288,               0.001288
                     46,                0.80358,                0.46976,                0.87323,                0.98315,                      1,                  0.995,                0.79467,                0.83078,                0.42982,                 0.9509,                0.00109,                0.00109,                0.00109
                     47,                0.84325,                0.45697,                0.93513,                0.98558,                      1,                  0.995,                0.80583,                0.81037,                0.40874,                0.92879,               0.000892,               0.000892,               0.000892
                     48,                0.76364,                0.44708,                0.87554,                0.98603,                      1,                  0.995,                0.83001,                0.76212,                0.40682,                0.91277,               0.000694,               0.000694,               0.000694
                     49,                0.83025,                0.45972,                0.94248,                0.99577,                      1,                  0.995,                 0.8295,                0.79495,                0.40512,                0.91731,               0.000496,               0.000496,               0.000496
